  -49.9999961853   50.0000000000
  -80.0000000000   50.0000000000
  -49.9999961853   80.0000000000
  -19.9999961853   80.0000000000
  -19.9999961853   20.0000000000
  -49.9999961853   20.0000000000
  -80.0000000000   50.0000000000



   50.0000000000   50.0000000000
   35.7142868042   50.0000000000
   21.4285736084   50.0000000000
    7.1428594589   50.0000000000
   -7.1428546906   50.0000000000
  -21.4285697937   50.0000000000
  -35.7142829895   50.0000000000
  -49.9999961853   50.0000000000



